date,continent,country,total_cases,new_cases,total_deaths,new_deaths,total_tests,total_vaccinations,people_vaccinated,hosp_patients,population,median_age,gdp_per_capita,case_fatality_rate
11/19/2021,Asia,India,6423388.0,2490,107051,323,60016385,55863236,35276326,12571,1241418161,49.88375059,44313.19995,1.6665815610079915
09/12/2021,North America,Russia,6550634.0,6980,481184,697,28666409,63799592,67830632,82753,114516392,30.12682341,8196.945011,7.345609600536375
04/20/2020,Europe,Canada,4304572.0,9134,15116,325,80352550,68770121,68985000,48225,1152898402,22.64806311,52607.00006,0.35116150920463174
10/16/2022,Asia,Germany,2234489.0,7661,20045,624,89212990,97546509,17081923,7227,1342525124,42.95110895,23297.98504,0.8970731115704754
05/15/2021,Europe,Usa,9958614.0,1724,419543,824,5364240,31976637,52813396,41189,744943966,26.41473134,56126.82889,4.212865364597925
02/24/2022,North America,Germany,9524682.0,8182,35709,164,67769161,19174474,67878019,14207,306169513,35.98080079,42927.214,0.37491015448074805
09/17/2022,Europe,France,7204212.0,2767,305761,572,50107235,94541485,31644235,78208,41073572,22.8740455,22879.31281,4.244197699901114
08/11/2022,Europe,France,9628519.0,1137,453355,603,97474358,20951549,42834681,53406,133425735,38.57851582,25584.21426,4.708460356156539
01/26/2020,Europe,Canada,4472471.0,4117,157977,797,6986481,47045186,3273438,41783,907512133,48.32022212,51474.00851,3.532208481620116
05/02/2020,Europe,Brazil,4523669.0,3420,457364,454,74336324,23487580,44909086,85587,862953579,41.68114138,38954.09274,10.110465641937994
01/01/2021,Asia,Italy,7404852.0,5845,203675,968,59884192,88247219,18968516,28879,1066894576,26.43604335,47116.22181,2.7505613886678626
04/21/2022,Europe,Brazil,4981505.0,4778,229167,152,5507774,15548509,28483123,28845,344138879,49.13414136,11923.96415,4.600356719505451
09/16/2022,North America,Italy,1766891.0,3906,381923,736,76087778,4895344,54559303,10015,881433439,29.21260793,55301.39038,21.615538253350095
10/21/2020,Asia,Usa,4521373.0,3637,305063,126,72347128,78763398,31900158,82961,1344878256,33.09844959,23107.00101,6.747131899978171
05/07/2020,Asia,Germany,6019877.0,2953,345665,192,86121049,61375184,2087444,21496,906800642,34.94351061,43770.42743,5.742060842771372
07/18/2020,Europe,Usa,3344769.0,5929,486121,626,50525451,61494227,46212018,707,935106993,49.7215623,8912.907942,14.533768998696173
