country,deaths_per_million,deaths,cases
World [ A ],893,7110645,779035962
Peru,6603,221067,4533436
Bulgaria,5680,38777,1341038
North Macedonia,5429,9991,352093
Bosnia And Herzegovina,5119,16407,404289
Hungary,5072,49124,2240618
Croatia,4813,18805,1371375
Slovenia,4686,9914,1366751
Georgia,4519,17151,1864337
Montenegro,4317,2654,251280
Czech Republic,4116,43938,4885505
Latvia,4098,7710,977795
Moldova,4042,12290,656455
Slovakia,3908,21393,1889565
Greece,3863,40232,5856910
San Marino,3693,126,25292
United States,3616,1235172,103436829
Romania,3604,69093,3603769
Lithuania,3521,9921,1447821
United Kingdom,3404,232112,25110923
Brazil,3346,703725,37962511
Italy,3329,198523,26969821
Chile,3298,64497,5410441
Martinique,3159,1104,230354
Poland,3151,120983,6839635
Armenia,3049,8785,454893
Gibraltar,3002,113,20550
Belgium,2949,34339,4906789
Paraguay,2940,19880,735759
Trinidad And Tobago,2934,4390,191496
Argentina,2881,130837,10118855
Portugal,2845,29641,5671586
European Union [ B ],2831,1270412,186969879
Sweden,2793,29301,2785050
Russia,2777,404290,24901467
Colombia,2760,142805,6402704
Aruba,2708,292,44224
Ukraine,2678,109937,5555148
Serbia,2658,18057,2568004
Guadeloupe,2654,1021,203235
France,2616,168199,39058068
Mexico,2605,335093,7629844
Spain,2548,121880,13980340
Bermuda,2547,165,18860
Guam,2536,419,52287
Estonia,2525,3409,617072
Austria,2485,22534,6083750
Tunisia,2427,29423,1153361
French Polynesia,2318,650,79451
Saint Lucia,2293,410,30254
Uruguay,2269,7696,1043228
Liechtenstein,2262,89,21649
Suriname,2256,1406,82516
Sint Maarten,2182,92,11051
Bahamas,2135,849,39127
Malta,2116,1118,125283
Barbados,2100,593,109141
Germany,2080,174979,38437951
Finland,2058,11466,1517263
Grenada,2035,238,19693
Ecuador,2023,36064,1081978
Panama,2006,8830,1045652
Andorra,1994,159,48015
Republic Of Ireland,1912,9771,1765889
Lebanon,1905,10947,1239904
Kosovo,1869,3212,274279
Bolivia,1853,22389,1212180
Costa Rica,1848,9394,1241702
Puerto Rico,1832,5938,1252713
Hong Kong,1798,13466,2876106
Montserrat,1787,8,1403
Monaco,1720,67,17181
Belize,1708,688,71493
Denmark,1696,10012,3453247
British Virgin Islands,1669,64,7661
Curaçao,1645,305,45883
South Africa,1644,102595,4073151
Iran,1640,146837,7627863
Switzerland,1611,14170,4491241
Guyana,1596,1312,75520
Collectivity Of Saint Martin,1591,46,12324
Antigua And Barbuda,1572,146,9106
Jersey,1555,161,66391
Luxembourg,1530,1000,401395
United States Virgin Islands,1525,132,25389
Cyprus,1450,1364,718604
Caribbean Netherlands,1430,41,11922
Canada,1424,55282,4819055
Namibia,1422,4110,172557
Israel,1395,12707,4841699
French Guiana,1384,413,98041
Isle Of Man,1378,116,38008
Seychelles,1370,172,51899
Netherlands,1283,22986,8656989
Jamaica,1279,3634,157664
Albania,1275,3608,337234
Jordan,1254,14122,1746997
Saint Vincent And The Grenadines,1214,124,9674
Eswatini,1170,1427,75356
Turkey,1164,101419,17004725
Botswana,1148,2801,330699
Guatemala,1132,20205,1255261
Dominica,1107,74,16047
New Caledonia,1093,314,80203
Malaysia,1076,37351,5329836
Palestine,1075,5708,703228
Honduras,1062,11114,473041
Réunion,1056,921,494595
Guernsey,1050,67,35326
Norway,1050,5732,1550562
Azerbaijan,1005,10353,836510
Bahrain,1001,1536,696614
Saint Kitts And Nevis,984,46,6607
Oman,978,4628,399449
Australia,963,25236,11861161
Fiji,962,885,69047
Kazakhstan,951,19072,1504370
Turks And Caicos Islands,893,41,6933
Libya,891,6437,507269
Northern Mariana Islands,889,41,14985
New Zealand,884,4538,2668236
